Index	Name	Wikipedia Link	Postal Code(s)	Demonym(s)	Localities	Neighbours	Elevation
144	Hettlingen	https://en.m.wikipedia.org/wiki/Hettlingen	8442			Dägerlen, Henggart, Neftenbach, Seuzach, Winterthur	433 m (1,421 ft)
148	Oberweningen	https://en.m.wikipedia.org/wiki/Oberweningen	8165			Bachs, Fisibach (AG), Regensberg, Schleinikon, Schöfflisdorf, Siglistorf (AG)	465 m (1,526 ft)
149	Schöfflisdorf	https://en.m.wikipedia.org/wiki/Sch%C3%B6fflisdorf	8165			Bachs, Oberweningen, Steinmaur	471 m (1,545 ft)
150	Siglistorf	https://en.m.wikipedia.org/wiki/Siglistorf	5462			Bachs (ZH), Fisibach, Niederweningen (ZH), Oberweningen (ZH), Schleinikon (ZH), Schneisingen, Wislikofen	444 m (1,457 ft)
154	Rümikon	https://en.m.wikipedia.org/wiki/R%C3%BCmikon	5464			Fisibach, Hohentengen am Hochrhein (DE-BW), Mellikon, Wislikofen	343 m (1,125 ft)
156	Wislikofen	https://en.m.wikipedia.org/wiki/Wislikofen	5463			Böbikon, Fisibach, Lengnau, Mellikon, Rümikon, Schneisingen, Siglistorf	394 m (1,293 ft)
157	Dägerlen	https://en.m.wikipedia.org/wiki/D%C3%A4gerlen	8471			Adlikon, Dinhard, Henggart, Hettlingen, Humlikon, Seuzach, Thalheim an der Thur	474 m (1,555 ft)
160	Thalheim an der Thur	https://en.m.wikipedia.org/wiki/Thalheim_an_der_Thur	8478			Adlikon, Altikon, Dägerlen, Dinhard, Neunforn (TG), Ossingen	385 m (1,263 ft)
163	Neunforn	https://en.m.wikipedia.org/wiki/Neunforn	8525			Altikon (ZH), Hüttwilen, Oberstammheim (ZH), Ossingen (ZH), Thalheim an der Thur (ZH), Uesslingen-Buch, Waltalingen (ZH)	460 m (1,510 ft)
166	Waltalingen	https://en.m.wikipedia.org/wiki/Waltalingen	8468			Basadingen-Schlattingen (TG), Neunforn (TG), Oberstammheim, Ossingen, Truttikon, Unterstammheim	429 m (1,407 ft)
168	Feuerthalen	https://en.m.wikipedia.org/wiki/Feuerthalen	8245			Büsingen am Hochrhein (DE-BW), Flurlingen, Laufen-Uhwiesen, Schlatt (TG), Schaffhausen (SH)	400 m (1,300 ft)
169	Flurlingen	https://en.m.wikipedia.org/wiki/Flurlingen	8247			Feuerthalen, Laufen-Uhwiesen, Neuhausen am Rheinfall (SH), Schaffhausen (SH)	413 m (1,355 ft)
170	Neuhausen am Rheinfall	https://en.m.wikipedia.org/wiki/Neuhausen_am_Rheinfall	8212			Beringen, Flurlingen (ZH), Guntmadingen, Jestetten (DE-BW), Laufen-Uhwiesen (ZH), Schaffhausen	410 m (1,350 ft)
172	Basadingen-Schlattingen	https://en.m.wikipedia.org/wiki/Basadingen-Schlattingen	8254			Diessenhofen, Schlatt, Truttikon (ZH), Unterstammheim (ZH), Waltalingen (ZH)	410 m (1,350 ft)
174	Diessenhofen	https://en.m.wikipedia.org/wiki/Diessenhofen	8253			Schlatt (TG), Basadingen-Schlattingen	398 m (1,306 ft)
179	Buchs, Zürich	https://en.m.wikipedia.org/wiki/Buchs,_Zurich	8107			Boppelsen, Dällikon, Dänikon, Dielsdorf, Niederhasli, Otelfingen, Regensberg, Regensdorf	442 m (1,450 ft)
180	Dielsdorf	https://en.m.wikipedia.org/wiki/Dielsdorf	8157			Buchs, Niederhasli, Regensberg, Steinmaur	455 m (1,493 ft)
183	Lindau, Switzerland	https://en.m.wikipedia.org/wiki/Lindau,_Switzerland	8315			Bassersdorf, Brütten, Illnau-Effretikon, Nürensdorf, Volketswil, Wangen-Brüttisellen, Winterthur	519 m (1,703 ft)
